B [mm],L [mm],R1 [mm],Freq [GHz],"dB(S(1,1)) []"
16.0,15.5,5.6,5.26575,-1.06616101850683
16.0,15.5,5.6,5.2805,-1.10469278744848
16.0,15.5,5.6,5.29525,-1.1468745848135
16.0,15.5,5.6,5.31,-1.19310915407806
16.0,15.5,5.6,5.32475,-1.24385672358129
16.0,15.5,5.6,5.3395,-1.29964457866103
16.0,15.5,5.6,5.35425,-1.36107846444239
16.0,15.5,5.6,5.369,-1.4288562095039
16.0,15.5,5.6,5.38375,-1.50378405165904
16.0,15.5,5.6,5.3985,-1.58679626109526
16.0,15.5,5.6,5.41325,-1.67897879949879
16.0,15.5,5.6,5.428,-1.78159793504277
16.0,15.5,5.6,5.44275,-1.89613496372431
16.0,15.5,5.6,5.4575,-2.02432848349775
16.0,15.5,5.6,5.47225,-2.16822605192923
16.0,15.5,5.6,5.487,-2.33024756492189
16.0,15.5,5.6,5.50175,-2.51326337645858
16.0,15.5,5.6,5.5165,-2.72069112277692
16.0,15.5,5.6,5.53125,-2.95661656182019
16.0,15.5,5.6,5.546,-3.22594573688027
16.0,15.5,5.6,5.56075,-3.53459885978878
16.0,15.5,5.6,5.5755,-3.88976127952443
16.0,15.5,5.6,5.59025,-4.30021523630912
16.0,15.5,5.6,5.605,-4.77679061764172
16.0,15.5,5.6,5.61975,-5.33299915588076
16.0,15.5,5.6,5.6345,-5.98596567244634
16.0,15.5,5.6,5.64925,-6.75786606690351
16.0,15.5,5.6,5.664,-7.67827932941685
16.0,15.5,5.6,5.67875,-8.7882945303213
16.0,15.5,5.6,5.6935,-10.1482514574183
16.0,15.5,5.6,5.70825,-11.8537810860376
16.0,15.5,5.6,5.723,-14.0735881225011
16.0,15.5,5.6,5.73775,-17.157233446831
16.0,15.5,5.6,5.7525,-22.0639022215754
16.0,15.5,5.6,5.76725,-34.4009051651364
16.0,15.5,5.6,5.782,-27.977683702329
16.0,15.5,5.6,5.79675,-20.2401693065087
16.0,15.5,5.6,5.8115,-16.3379334029537
16.0,15.5,5.6,5.82625,-13.7668199592714
16.0,15.5,5.6,5.841,-11.8859275492311
16.0,15.5,5.6,5.85575,-10.4301174720802
16.0,15.5,5.6,5.8705,-9.26245550282322
16.0,15.5,5.6,5.88525,-8.30222700461059
16.0,15.5,5.6,5.9,-7.49755801140904
16.0,15.5,5.6,5.91475,-6.81309678404307
16.0,15.5,5.6,5.9295,-6.22375848883742
16.0,15.5,5.6,5.94425,-5.71122756376321
16.0,15.5,5.6,5.959,-5.26183841379954
16.0,15.5,5.6,5.97375,-4.86520483168168
16.0,15.5,5.6,5.9885,-4.513290446873
16.0,15.5,5.6,6.00325,-4.19975974156819
16.0,15.5,5.6,6.018,-3.91951913669871
16.0,15.5,5.6,6.03275,-3.66839204235861
16.0,15.5,5.6,6.0475,-3.44288976303257
16.0,15.5,5.6,6.06225,-3.24005072297561
16.0,15.5,5.6,6.077,-3.05732765234859
16.0,15.5,5.6,6.09175,-2.89250778580159
16.0,15.5,5.6,6.1065,-2.74365536117696
16.0,15.5,5.6,6.12125,-2.6090689806545
16.0,15.5,5.6,6.136,-2.48724883819327
16.0,15.5,5.6,6.15075,-2.37687055948028
16.0,15.5,5.6,6.1655,-2.27676359019606
16.0,15.5,5.6,6.18025,-2.18589284716594
16.0,15.5,5.6,6.195,-2.10334283706947
16.0,15.5,5.6,6.20975,-2.02830374477399
16.0,15.5,5.6,6.2245,-1.96005916787966
16.0,15.5,5.6,6.23925,-1.89797527366047
16.0,15.5,5.6,6.254,-1.84149121043577
16.0,15.5,5.6,6.26875,-1.79011063690666
16.0,15.5,5.6,6.2835,-1.74339425163846
16.0,15.5,5.6,6.29825,-1.7009532171357
16.0,15.5,5.6,6.313,-1.66244338233493
16.0,15.5,5.6,6.32775,-1.62756021548343
16.0,15.5,5.6,6.3425,-1.59603436705653
16.0,15.5,5.6,6.35725,-1.5676277897966
16.0,15.5,5.6,6.372,-1.54213035017291
16.0,15.5,5.6,6.38675,-1.51935687246517
16.0,15.5,5.6,6.4015,-1.49914456320077
16.0,15.5,5.6,6.41625,-1.48135076973715
16.0,15.5,5.6,6.431,-1.46585103234856
16.0,15.5,5.6,6.44575,-1.45253739422151
16.0,15.5,5.6,6.4605,-1.44131693830118
16.0,15.5,5.6,6.47525,-1.43211052397065
16.0,15.5,5.6,6.49,-1.42485170012637
16.0,15.5,5.6,6.50475,-1.41948577436942
16.0,15.5,5.6,6.5195,-1.41596902079976
16.0,15.5,5.6,6.53425,-1.41426801132445
16.0,15.5,5.6,6.549,-1.41435905750448
16.0,15.5,5.6,6.56375,-1.41622775180417
16.0,15.5,5.6,6.5785,-1.41986859870733
16.0,15.5,5.6,6.59325,-1.42528472754904
16.0,15.5,5.6,6.608,-1.43248768011073
16.0,15.5,5.6,6.62275,-1.44149726705811
16.0,15.5,5.6,6.6375,-1.45234148818553
16.0,15.5,5.6,6.65225,-1.46505651218109
16.0,15.5,5.6,6.667,-1.47968671225683
16.0,15.5,5.6,6.68175,-1.49628475450552
16.0,15.5,5.6,6.6965,-1.51491173625626
16.0,15.5,5.6,6.71125,-1.53563737200929
16.0,15.5,5.6,6.726,-1.55854022473429
16.0,15.5,5.6,6.74075,-1.58370798041622
16.0,15.5,5.6,6.7555,-1.61123776371999
16.0,15.5,5.6,6.77025,-1.64123649251313
16.0,15.5,5.6,6.785,-1.67382126872139
16.0,15.5,5.6,6.79975,-1.70911980257858
16.0,15.5,5.6,6.8145,-1.74727086675102
16.0,15.5,5.6,6.82925,-1.78842477604245
16.0,15.5,5.6,6.844,-1.83274388738535
16.0,15.5,5.6,6.85875,-1.88040311356792
16.0,15.5,5.6,6.8735,-1.93159044258417
16.0,15.5,5.6,6.88825,-1.98650745257822
16.0,15.5,5.6,6.903,-2.04536981002554
16.0,15.5,5.6,6.91775,-2.10840773597672
16.0,15.5,5.6,6.9325,-2.17586642180155
16.0,15.5,5.6,6.94725,-2.2480063718138
16.0,15.5,5.6,6.962,-2.32510364530823
16.0,15.5,5.6,6.97675,-2.40744996475701
16.0,15.5,5.6,6.9915,-2.49535265002886
16.0,15.5,5.6,7.00625,-2.58913433029695
16.0,15.5,5.6,7.021,-2.68913237554366
16.0,15.5,5.6,7.03575,-2.79569797795392
16.0,15.5,5.6,7.0505,-2.90919479963978
16.0,15.5,5.6,7.06525,-3.02999708661133
16.0,15.5,5.6,7.08,-3.15848712917296
16.0,15.5,5.6,7.09475,-3.29505192533226
16.0,15.5,5.6,7.1095,-3.44007887562899
16.0,15.5,5.6,7.12425,-3.59395030418706
16.0,15.5,5.6,7.139,-3.75703656090691
